element_type,xG_per_90,xA_per_90,bps_per_90,form,was_home,FDR,last_minutes_5_match,ict_index,Defensive_Contribution_per_90,xGC_per_90,Saves_per_90,total_points,xG_per_90_L5M,ict_index_per_90,Opponent_xGC_per_90,xG_match,xA_per_90_L5M,is_setpiece_taker,xA_match
2,0.0,0.06,28.0,4.6667,0,4,90.0,3.0,4.2,0.23,0.0,6,0.2,3.0,1.5,0.0,0.024,0,0.06
2,0.28,0.03,12.0,3.0,1,3,90.0,3.8,1.8,0.97,0.0,1,0.228,3.8,1.5,0.28,0.028,0,0.03
2,0.0,0.0,19.0,4.3333,0,4,90.0,0.7,2.85,0.95,0.0,6,0.102,0.7,1.5,0.0,0.026,0,0.0
2,0.0,0.01,25.0,4.3333,1,4,90.0,2.1,3.75,0.27,0.0,6,0.098,2.1,1.5,0.0,0.026,0,0.01
2,0.69,0.01,18.0,6.0,0,3,90.0,7.3,2.7,0.53,0.0,6,0.194,7.3,1.5,0.69,0.022,0,0.01
2,0.0,0.01,10.0,4.0,1,3,90.0,1.9,1.5,1.13,0.0,0,0.194,1.9,1.5,0.0,0.012,0,0.01
2,0.0,0.0,24.0,4.0,0,3,90.0,0.9,3.6,0.14,0.0,6,0.138,0.9,1.5,0.0,0.006,0,0.0
2,0.0,0.01,27.0,4.0,1,3,90.0,2.2,4.05,1.61,0.0,6,0.138,2.2,1.5,0.0,0.008,0,0.01
2,0.0,0.03,14.0,4.3333,0,3,90.0,1.5,2.1,2.37,0.0,1,0.138,1.5,1.5,0.0,0.012,1,0.03
2,0.13,0.01,27.0,4.6667,1,2,90.0,1.7,4.05,0.37,0.0,7,0.026,1.7,1.5,0.13,0.012,0,0.01
2,0.22,0.01,27.0,5.0,0,3,90.0,2.4,4.05,0.64,0.0,7,0.07,2.4,1.5,0.22,0.012,0,0.01
2,0.0776,0.031,15.5172,5.0,1,4,83.6,1.7,2.3276,0.7138,0.0,1,0.0861,2.6379,1.5,0.05,0.0172,0,0.02
3,0.05,0.24,11.0,2.0,1,3,90.0,5.5,1.1,1.18,0.0,2,0.05,5.5,1.5,0.05,0.24,0,0.24
3,0.02,0.05,-1.0,2.0,0,3,90.0,1.9,-0.1,1.06,0.0,2,0.035,1.9,1.5,0.02,0.145,0,0.05
3,0.4418,0.2291,3.2727,1.6667,1,2,78.3333,4.2,0.3273,0.4745,0.0,1,0.1302,6.8727,1.5,0.27,0.1647,0,0.14
3,0.4263,0.0474,5.9211,1.6667,1,3,77.75,4.1,0.5921,1.0658,0.0,2,0.2026,4.8553,1.5,0.36,0.136,0,0.04
3,0.0,0.0,36.0,1.3333,0,3,64.2,0.5,3.6,0.9,0.0,1,0.1963,4.5,1.5,0.0,0.1318,0,0.0
3,0.12,0.02,-2.0,1.0,1,3,55.2,1.0,-0.2,1.2,0.0,0,0.2315,2.0,1.5,0.06,0.0783,0,0.01
3,0.9225,0.0225,20.25,2.6667,0,3,53.2,6.9,2.025,0.7762,0.0,7,0.5109,7.7625,1.5,0.82,0.0711,0,0.02
3,0.0,0.18,72.0,3.6667,1,2,45.2,3.5,7.2,0.0,0.0,4,0.4938,21.0,1.5,0.0,0.0398,0,0.03
3,0.0,0.075,15.0,4.0,0,3,32.4,0.1,1.5,0.15,0.0,1,0.4889,0.75,1.5,0.0,0.0389,0,0.01
3,0.28,0.04,7.0,2.6667,1,3,48.4,3.0,0.7,0.03,0.0,3,0.4314,3.0,1.5,0.28,0.0409,0,0.04
3,0.08,0.06,5.0,1.6667,0,2,57.4,3.2,0.5,1.09,0.0,1,0.37,3.2,1.5,0.08,0.0502,1,0.06
3,0.5586,0.0776,0.0,1.6667,1,3,53.0,3.4,0.0,0.4034,0.0,1,0.2445,5.2759,1.5,0.36,0.0645,0,0.05
3,2.6182,0.0,180.0,2.6667,0,2,52.2,7.3,18.0,0.0,0.0,6,0.3586,59.7273,1.5,0.32,0.0552,0,0.0
3,0.0,0.0,22.5,2.6667,1,3,52.2,0.2,2.25,0.975,0.0,1,0.3586,1.5,1.5,0.0,0.0517,1,0.0
3,0.92,0.07,25.0,4.6667,0,2,52.2,12.0,2.5,0.5,0.0,7,0.5793,12.0,1.5,0.92,0.0621,0,0.07
3,0.02,0.27,6.0,3.3333,0,3,52.2,5.2,0.6,0.51,0.0,2,0.5586,5.2,1.5,0.02,0.1345,0,0.27
3,0.6443,0.0409,24.5455,5.6667,1,2,58.2,6.7,2.4545,0.6852,0.0,8,0.5845,6.8523,1.5,0.63,0.1175,0,0.04
3,0.02,0.02,2.0,3.6667,0,2,74.0,1.6,0.2,0.95,0.0,1,0.3868,1.6,1.5,0.02,0.0973,0,0.02
3,0.0,0.0118,7.1053,3.6667,0,3,86.8,1.7,0.7105,1.3855,0.0,2,0.3297,2.0132,1.5,0.0,0.085,0,0.01
3,0.0,0.1588,6.6176,2.0,1,4,82.4,1.2,0.6618,0.3706,0.0,3,0.1464,1.5882,1.5,0.0,0.1005,0,0.12
3,0.0,0.0,18.9474,2.0,0,2,68.2,1.8,1.8947,1.5158,0.0,1,0.1716,8.5263,1.5,0.0,0.0501,0,0.0
3,1.02,0.04,4.0,2.6667,1,3,68.6,8.6,0.4,0.41,0.0,4,0.2729,8.6,1.5,1.02,0.0499,0,0.04
3,0.08,0.19,13.0,2.6667,0,3,68.6,7.9,1.3,0.21,0.0,3,0.2886,7.9,1.5,0.08,0.0945,0,0.19
3,0.8458,0.0542,41.2048,6.3333,0,2,70.0,8.8,4.1205,0.1952,0.0,12,0.4834,9.5422,1.5,0.78,0.1029,1,0.05
3,1.344,0.072,37.2,9.6667,1,4,71.4,9.5,3.72,0.108,0.0,14,0.7563,11.4,1.5,1.12,0.0857,0,0.06
3,0.17,0.16,41.0,13.3333,0,4,85.6,16.1,4.1,0.23,0.0,14,0.6666,16.1,1.5,0.17,0.1051,1,0.16
3,0.53,0.06,26.0,11.6667,1,3,85.6,8.8,2.6,0.97,0.0,7,0.5636,8.8,1.5,0.53,0.1093,0,0.06
3,0.33,0.01,2.0,8.0,0,2,85.6,4.1,0.2,0.95,0.0,3,0.6161,4.1,1.5,0.33,0.0715,0,0.01
3,0.0969,0.1662,19.3846,5.0,1,2,82.0,6.3,1.9385,0.1385,0.0,5,0.4873,8.7231,1.5,0.07,0.09,0,0.12
3,0.6239,0.5011,38.8636,7.3333,0,4,84.6,15.6,3.8864,0.3886,0.0,14,0.3638,15.9545,1.5,0.61,0.1787,0,0.49
3,0.19,0.29,1.0,6.6667,1,3,84.6,8.8,0.1,1.13,0.0,1,0.3681,8.8,1.5,0.19,0.2064,0,0.29
3,0.3,0.13,10.0,6.0,0,4,84.6,9.7,1.0,0.14,0.0,3,0.3191,9.7,1.5,0.3,0.2213,1,0.13
3,1.3056,0.1268,46.9014,6.0,1,3,80.8,19.7,4.6901,2.0408,0.0,14,0.4901,24.9718,1.5,1.03,0.2517,1,0.1
3,0.41,0.26,40.0,10.0,0,4,85.8,12.5,4.0,2.37,0.0,13,0.5329,12.5,1.5,0.41,0.2664,0,0.26
3,0.27,0.16,23.0,10.6667,1,3,86.2,10.6,2.3,0.37,0.0,5,0.4594,10.6,1.5,0.27,0.1963,0,0.16
3,0.0,0.5,18.0,8.0,0,3,86.2,5.6,1.8,0.64,0.0,6,0.4197,5.6,1.5,0.0,0.2401,1,0.5
3,1.24,0.04,18.0,5.6667,1,3,86.2,12.6,1.8,0.5,0.0,6,0.616,12.6,1.5,1.24,0.2213,0,0.04
4,12.6,0.9,90.0,1.0,1,3,1.0,3.8,0.0,10.8,0.0,1,12.6,342.0,1.5,0.14,0.9,0,0.01
4,4.3071,0.2571,160.7143,3.5,1,2,7.5,6.9,0.0,0.3857,0.0,6,4.86,44.3571,1.5,0.67,0.3,0,0.04
4,0.0,0.0,-3.75,2.6667,0,3,13.0,0.3,0.0,0.7125,0.0,1,1.8692,1.125,1.5,0.0,0.1154,0,0.0
4,0.5921,0.0118,1.1842,3.0,1,3,28.75,4.5,0.0,1.5513,0.0,2,1.0252,5.3289,1.5,0.5,0.047,0,0.01
4,0.11,0.19,20.0,2.6667,0,3,41.0,6.5,0.0,0.69,0.0,5,0.6234,6.5,1.5,0.11,0.1098,1,0.19
4,0.02,0.05,-1.0,2.6667,1,2,58.8,3.4,0.0,0.55,0.0,1,0.398,3.4,1.5,0.02,0.0888,1,0.05
4,0.3627,0.0,8.0597,2.6667,0,3,69.4,1.5,0.0,1.7463,0.0,2,0.2334,2.0149,1.5,0.27,0.0648,0,0.0
4,0.7062,0.0138,0.0,1.6667,0,3,77.6,5.4,0.0,0.8446,0.0,2,0.3271,7.4769,1.5,0.51,0.0603,0,0.01
4,0.7091,0.0545,1.3636,2.0,1,2,75.6,4.9,0.0,0.7909,0.0,2,0.3405,6.6818,1.5,0.52,0.069,0,0.04
4,0.7,0.44,48.0,5.0,0,3,75.6,21.5,0.0,0.5,0.0,11,0.481,21.5,1.5,0.7,0.1286,0,0.44
4,0.0444,0.1889,3.3333,5.0,0,3,73.8,5.5,0.0,0.4667,0.0,2,0.4976,6.1111,1.5,0.04,0.161,0,0.17
4,0.495,0.0562,45.0,7.3333,1,2,76.4,13.3,0.0,0.09,0.0,9,0.5207,14.9625,1.5,0.44,0.1673,0,0.05
4,0.3857,0.1753,1.1688,4.3333,0,3,78.8,5.8,0.0,1.1104,0.0,2,0.4637,6.7792,1.5,0.33,0.1942,0,0.15
4,0.46,0.27,8.0,4.0,1,3,83.6,11.0,0.0,1.48,0.0,1,0.4242,11.0,1.5,0.46,0.2325,0,0.27
4,0.1565,0.0,3.913,1.3333,0,2,70.2,0.7,0.0,1.0174,0.0,1,0.3359,2.7391,1.5,0.04,0.1641,0,0.0
4,0.135,0.4725,29.25,2.3333,1,3,70.0,9.3,0.0,0.315,0.0,5,0.3574,10.4625,1.5,0.12,0.2289,0,0.42
4,0.5026,0.187,36.2338,5.3333,0,3,69.4,17.0,0.0,0.1052,0.0,10,0.3579,19.8701,1.5,0.43,0.2594,0,0.16
4,0.1731,0.4154,6.9231,5.3333,0,4,59.2,3.1,0.0,0.3808,0.0,1,0.3345,10.7308,1.5,0.05,0.2949,0,0.12
4,0.0,0.045,-4.5,4.0,1,4,45.2,0.5,0.0,1.98,0.0,1,0.2549,2.25,1.5,0.0,0.2827,0,0.01
4,0.2408,0.3296,6.338,1.0,0,3,54.8,4.3,0.0,0.9,0.0,1,0.2595,5.4507,1.5,0.19,0.3186,0,0.26
4,0.5429,0.0857,8.5714,2.3333,0,4,51.4,5.5,0.0,0.5429,0.0,5,0.3677,7.8571,1.5,0.38,0.2136,0,0.06
4,0.2769,0.6692,9.2308,2.6667,1,4,51.6,5.5,0.0,0.4615,0.0,2,0.3,6.3462,1.5,0.24,0.3593,0,0.58
4,0.0797,0.0684,15.9494,4.0,0,3,62.2,5.4,0.0,0.1595,0.0,5,0.2547,6.1519,1.5,0.07,0.2807,0,0.06
4,0.0,0.25,25.0,2.6667,1,3,61.8,1.0,0.0,0.0,0.0,1,0.2563,5.0,1.5,0.0,0.2942,0,0.05
4,0.0,1.125,270.0,3.3333,1,2,48.4,3.2,0.0,0.0,0.0,4,0.2566,72.0,1.5,0.0,0.2975,0,0.05
4,0.0,0.0,45.0,2.0,0,3,37.4,0.5,0.0,0.225,0.0,1,0.1492,5.625,1.5,0.0,0.3561,0,0.0
4,0.3,0.45,45.0,2.0,1,3,24.2,2.4,0.0,0.0,0.0,1,0.0818,18.0,1.5,0.04,0.1636,0,0.06
3,0.0,0.0818,40.9091,1.0,0,2,11.0,0.4,4.0909,4.8273,0.0,1,0.0,3.2727,1.5,0.0,0.0818,0,0.01
3,0.0,0.45,60.0,1.0,1,2,8.5,1.1,6.0,3.75,0.0,1,0.0,16.5,1.5,0.0,0.2118,0,0.03
3,0.0,0.0,270.0,1.0,1,3,6.0,0.0,27.0,0.0,0.0,1,0.0,0.0,1.5,0.0,0.2,0,0.0
3,0.0,0.02,-2.0,1.0,1,2,15.75,0.7,-0.2,1.2,0.0,1,0.0,1.4,1.5,0.0,0.0714,0,0.01
3,0.0,0.1,30.0,1.0,0,2,14.4,0.5,3.0,0.0,0.0,1,0.0,5.0,1.5,0.0,0.075,0,0.01
3,0.0,0.0486,10.9459,1.3333,1,4,27.0,1.2,1.0946,0.6689,0.0,2,0.0,1.4595,1.5,0.0,0.06,0,0.04
3,0.0537,0.1343,14.7761,1.6667,0,2,39.2,3.3,1.4776,1.7463,0.0,2,0.0184,4.4328,1.5,0.04,0.0735,1,0.1
3,0.0577,0.0577,15.0,2.0,0,3,54.6,2.5,1.5,1.2577,0.0,2,0.0297,2.8846,1.5,0.05,0.0692,0,0.05
3,0.0,0.05,13.0,2.0,1,3,63.6,2.6,1.3,0.3,0.0,2,0.0255,2.6,1.5,0.0,0.0708,0,0.05
3,0.0,0.0,270.0,1.6667,0,3,62.0,0.1,27.0,0.0,0.0,1,0.0261,9.0,1.5,0.0,0.0697,0,0.0
3,0.0,0.0,270.0,1.3333,1,2,47.4,0.0,27.0,0.0,0.0,1,0.0342,0.0,1.5,0.0,0.0759,0,0.0
3,0.0529,1.1118,84.7059,2.0,1,4,37.4,4.0,8.4706,0.2647,0.0,4,0.0289,21.1765,1.5,0.01,0.1492,1,0.21
3,0.0,0.0,270.0,2.0,0,4,22.0,0.1,27.0,13.5,0.0,1,0.0082,9.0,1.5,0.0,0.2127,0,0.0
3,0.0,0.08,11.0,2.3333,1,4,22.0,3.1,1.1,0.41,0.0,2,0.0082,3.1,1.5,0.0,0.2373,0,0.08
3,0.0,0.1636,24.5455,1.3333,0,4,24.0,0.6,2.4545,1.2273,0.0,1,0.0075,4.9091,1.5,0.0,0.2325,0,0.02
3,0.0,0.133,12.2727,1.6667,1,3,41.4,3.2,1.2273,0.1636,0.0,2,0.0043,3.2727,1.5,0.0,0.1913,0,0.13
3,0.0,0.225,19.6875,2.0,0,2,50.8,3.0,1.9688,0.1828,0.0,3,0.0,4.2188,1.5,0.0,0.1382,0,0.16
3,0.0,0.3391,14.3478,2.3333,1,4,64.4,2.6,1.4348,0.6913,0.0,2,0.0,3.3913,1.5,0.0,0.1817,0,0.26
3,0.0,0.0,5.5385,2.6667,0,3,59.4,0.0,0.5538,0.9831,0.0,3,0.0,0.0,1.5,0.0,0.1727,1,0.0
3,0.0,0.0,126.0,2.0,1,4,58.2,1.7,12.6,3.06,0.0,1,0.0,30.6,1.5,0.0,0.1701,0,0.0
3,0.0,0.56,25.0,3.6667,0,3,58.6,4.5,2.5,0.53,0.0,7,0.0,4.5,1.5,0.0,0.301,0,0.56
3,0.0,0.2455,24.5455,3.0,1,4,48.0,0.5,2.4545,5.9727,0.0,1,0.0,4.0909,1.5,0.0,0.3188,0,0.03
3,0.0,0.1,20.0,3.0,1,3,37.8,1.1,2.0,0.0,0.0,1,0.0,5.5,1.5,0.0,0.2905,0,0.02
3,0.0,0.0,270.0,1.0,0,2,25.0,0.0,27.0,1.8,0.0,1,0.0,0.0,1.5,0.0,0.4392,0,0.0
2,0.0,0.0,270.0,1.0,0,3,1.0,0.1,40.5,23.4,0.0,1,0.0,9.0,1.5,0.0,0.0,0,0.0
2,0.32,0.03,11.0,1.0,1,2,45.5,3.5,1.65,0.53,0.0,1,0.3165,3.5,1.5,0.32,0.0297,1,0.03
2,0.0,0.02,25.0,2.6667,1,4,60.3333,1.7,3.75,0.03,0.0,6,0.1591,1.7,1.5,0.0,0.0249,1,0.02
2,0.0,0.0,270.0,2.6667,1,2,45.5,0.0,40.5,4.5,0.0,1,0.1582,0.0,1.5,0.0,0.0247,0,0.0
2,0.0,0.0,270.0,2.6667,1,4,36.6,0.2,40.5,0.0,0.0,1,0.1574,18.0,1.5,0.0,0.0246,1,0.0
2,0.0714,0.0286,11.4286,1.0,0,2,49.0,1.7,1.7143,0.6857,0.0,1,0.1359,2.4286,1.5,0.05,0.0257,0,0.02
2,0.0,0.0,450.0,1.0,1,3,31.2,0.2,67.5,1.8,0.0,1,0.0288,18.0,1.5,0.0,0.0231,1,0.0
2,0.0,0.02,12.0,1.0,0,2,22.2,1.0,1.8,1.1,0.0,1,0.0405,2.0,1.5,0.0,0.0243,0,0.01
2,0.0,0.0,30.0,1.0,1,4,23.8,0.2,4.5,0.5,0.0,1,0.0378,2.0,1.5,0.0,0.0227,0,0.0
2,0.0,0.0,270.0,1.0,0,4,23.8,0.0,40.5,13.5,0.0,1,0.0378,0.0,1.5,0.0,0.0227,0,0.0
2,0.52,0.0,16.0,1.6667,1,3,20.2,5.9,2.4,0.62,0.0,3,0.2317,11.8,1.5,0.26,0.0089,0,0.0
2,0.0,0.29,30.0,3.3333,0,3,38.0,4.0,4.5,0.21,0.0,6,0.1232,4.0,1.5,0.0,0.1421,0,0.29
2,0.0,0.01,34.0,6.0,0,4,47.0,4.0,5.1,0.26,0.0,9,0.0996,4.0,1.5,0.0,0.1149,0,0.01
2,0.05,0.02,23.0,7.6667,1,3,63.2,7.7,3.45,0.16,0.0,8,0.0883,7.7,1.5,0.05,0.0911,0,0.02
2,0.06,0.1,35.0,9.0,0,3,81.0,5.9,5.25,0.23,0.0,10,0.0822,5.9,1.5,0.06,0.0933,1,0.1
2,0.0,0.0462,15.0,6.6667,1,2,87.6,3.3,2.25,1.1192,0.0,2,0.0226,3.8077,1.5,0.0,0.0945,0,0.04
2,0.0,0.0415,27.6923,6.0,0,3,82.6,2.1,4.1538,0.9831,0.0,6,0.024,2.9077,1.5,0.0,0.0436,0,0.03
2,0.0,0.03,21.0,4.6667,0,4,82.6,1.2,3.15,0.14,0.0,6,0.024,1.2,1.5,0.0,0.0479,0,0.03
2,0.0,0.0,270.0,4.3333,0,3,64.8,0.0,40.5,1.8,0.0,1,0.0167,0.0,1.5,0.0,0.0556,0,0.0
2,0.0,0.0,270.0,2.6667,0,2,47.0,0.0,40.5,1.8,0.0,1,0.0,0.0,1.5,0.0,0.0383,0,0.0
3,0.0,0.2329,24.3529,5.0,1,3,85.0,7.6,2.4353,1.2282,0.0,5,0.0,8.0471,1.5,0.0,0.2329,1,0.22
3,0.1435,0.0522,5.2174,4.0,0,4,77.0,2.4,0.5217,0.4435,0.0,3,0.0643,3.1304,1.5,0.11,0.1519,1,0.04
3,0.54,0.11,12.0,3.3333,1,2,81.3333,9.6,1.2,0.53,0.0,2,0.2398,9.6,1.5,0.54,0.1365,0,0.11
3,0.1416,0.1618,20.2247,3.3333,1,3,83.25,7.6,2.0225,0.9708,0.0,5,0.2135,7.6854,1.5,0.14,0.1432,0,0.16
3,0.0,0.0391,7.8261,2.6667,0,3,71.2,0.4,0.7826,0.0,0.0,1,0.1997,1.5652,1.5,0.0,0.1365,0,0.01
